Title,Format,Region,City,Date,Note,Shelf Location,Physical Description,Identifier,DOI,Interviewer,Interviewee,Coordinates
"Eastern questionnaire, answer sheet for Interviewee 53244, page 175",answer sheets,Grodno?,Bobr,Between 1959 and 1972,Dates inferred from collection date range.,Box no. 175,page 175,0097980,doi:10.7916/D8T73FMG,"",Interviewee 53244,"54.327889,29.275507"
"Eastern questionnaire, answer sheet for Interviewee 53244, page 176",answer sheets,Grodno?,Bobr,Between 1959 and 1972,Dates inferred from collection date range.,Box no. 175,page 176,0097981,doi:10.7916/D8PK1D9G,"",Interviewee 53244,"54.327889,29.275507"
"Eastern questionnaire, answer sheet for Interviewee 53244, page 177",answer sheets,Grodno?,Bobr,Between 1959 and 1972,Dates inferred from collection date range.,Box no. 175,page 177,0097982,doi:10.7916/D85H8DFK,"",Interviewee 53244,"54.327889,29.275507"
